split,target_class,source_path,dest_path,decision,notes,review_code
train,atencion,dataset/raw/atencion/atencion_01293.jpg,dataset_curado_v3/train/atencion/visual_atencion_01293.jpg,keep_atencion,mancha foliar localizada,01-01
train,atencion,dataset/raw/atencion/atencion_01573.jpg,dataset_curado_v3/train/atencion/visual_atencion_01573.jpg,keep_atencion,manchas foliares leves,01-03
train,atencion,dataset/raw/atencion/atencion_01630.jpg,dataset_curado_v3/train/atencion/visual_atencion_01630.jpg,keep_atencion,hoja con deformacion leve,01-04
train,atencion,dataset/raw/atencion/atencion_02462.jpg,dataset_curado_v3/train/atencion/visual_atencion_02462.jpg,keep_atencion,amarillamiento foliar visible,01-08
train,atencion,dataset/raw/atencion/atencion_02640.jpg,dataset_curado_v3/train/atencion/visual_atencion_02640.jpg,keep_atencion,amarillamiento foliar parcial,01-09
train,atencion,dataset/raw/atencion/atencion_02013.jpg,dataset_curado_v3/train/atencion/visual_atencion_02013.jpg,keep_atencion,manchas leves en hojas,01-10
train,atencion,dataset/raw/atencion/atencion_02086.jpg,dataset_curado_v3/train/atencion/visual_atencion_02086.jpg,keep_atencion,hoja con dano moderado,01-12
train,atencion,dataset/raw/atencion/atencion_08131.jpg,dataset_curado_v3/train/atencion/visual_atencion_08131.jpg,keep_atencion,amarillamiento leve en planta,01-16
train,atencion,dataset/raw/atencion/atencion_01765.jpg,dataset_curado_v3/train/atencion/visual_atencion_01765.jpg,keep_atencion,manchas foliares localizadas,01-17
train,atencion,dataset/raw/atencion/atencion_01747.jpg,dataset_curado_v3/train/atencion/visual_atencion_01747.jpg,keep_atencion,hoja con dano moderado,01-22
train,atencion,dataset/raw/atencion/atencion_00700.jpg,dataset_curado_v3/train/atencion/visual_atencion_00700.jpg,keep_atencion,lesion foliar localizada,01-25
train,atencion,dataset/raw/atencion/atencion_05758.jpg,dataset_curado_v3/train/atencion/visual_atencion_05758.jpg,keep_atencion,lesiones en fruto localizadas,02-01
train,atencion,dataset/raw/atencion/atencion_01248.jpg,dataset_curado_v3/train/atencion/visual_atencion_01248.jpg,keep_atencion,hoja con deformacion leve,02-04
train,atencion,dataset/raw/atencion/atencion_00004.jpg,dataset_curado_v3/train/atencion/visual_atencion_00004.jpg,keep_atencion,mancha foliar localizada,02-06
train,atencion,dataset/raw/atencion/atencion_00580.jpg,dataset_curado_v3/train/atencion/visual_atencion_00580.jpg,keep_atencion,plantula con estres leve,02-07
train,atencion,dataset/raw/atencion/atencion_04737.jpg,dataset_curado_v3/train/atencion/visual_atencion_04737.jpg,keep_atencion,presencia puntual en hoja,02-15
train,atencion,dataset/raw/atencion/atencion_00574.jpg,dataset_curado_v3/train/atencion/visual_atencion_00574.jpg,keep_atencion,hoja enrollada o estresada,02-16
train,atencion,dataset/raw/atencion/atencion_02031.jpg,dataset_curado_v3/train/atencion/visual_atencion_02031.jpg,keep_atencion,mancha foliar localizada,02-19
train,atencion,dataset/raw/atencion/atencion_01208.jpg,dataset_curado_v3/train/atencion/visual_atencion_01208.jpg,keep_atencion,hojas con deformacion visible,02-20
train,atencion,dataset/raw/atencion/atencion_01269.jpg,dataset_curado_v3/train/atencion/visual_atencion_01269.jpg,keep_atencion,clorosis o moteado foliar,02-22
train,atencion,dataset/raw/atencion/atencion_01621.jpg,dataset_curado_v3/train/atencion/visual_atencion_01621.jpg,keep_atencion,moteado foliar visible,02-23
train,atencion,dataset/raw/atencion/atencion_01236.jpg,dataset_curado_v3/train/atencion/visual_atencion_01236.jpg,keep_atencion,clorosis foliar marcada,02-25
train,atencion,dataset/raw/atencion/atencion_04687.jpg,dataset_curado_v3/train/atencion/visual_atencion_04687.jpg,keep_atencion,manchas foliares leves,03-01
train,atencion,dataset/raw/atencion/atencion_01361.jpg,dataset_curado_v3/train/atencion/visual_atencion_01361.jpg,keep_atencion,borde foliar deteriorado,03-03
train,atencion,dataset/raw/atencion/atencion_00619.jpg,dataset_curado_v3/train/atencion/visual_atencion_00619.jpg,keep_atencion,hoja con estres moderado,03-05
train,atencion,dataset/raw/atencion/atencion_02541.jpg,dataset_curado_v3/train/atencion/visual_atencion_02541.jpg,keep_atencion,mancha foliar localizada,03-07
train,atencion,dataset/raw/atencion/atencion_02102.jpg,dataset_curado_v3/train/atencion/visual_atencion_02102.jpg,keep_atencion,clorosis y moteado foliar,03-10
train,atencion,dataset/raw/atencion/atencion_05135.jpg,dataset_curado_v3/train/atencion/visual_atencion_05135.jpg,keep_atencion,lesion localizada en fruto,03-13
