sha256,count,splits,classes,paths
9211632258824eb97dee38c8763096412c52da81498bb0fde01bfd284bd20bd5,5,raw|train,atencion|peligro|sano,dataset/raw/atencion/atencion_00763.jpg|dataset/raw/peligro/peligro_00118.jpg|dataset/train/atencion/atencion_00763.jpg|dataset/train/peligro/peligro_00118.jpg|dataset/train/sano/sano_04371.jpg
9bac0d320c922a015e0db4c09cc2e387010a17ac021e8bce32415a03b2acebb0,5,raw|train|validation,atencion|peligro|sano,dataset/raw/peligro/peligro_03200.jpg|dataset/raw/sano/sano_04269.jpg|dataset/train/peligro/peligro_03200.jpg|dataset/train/sano/sano_04269.jpg|dataset/validation/atencion/atencion_01863.jpg
aeae6bd6bd9663870ab74af677b3c12daca43147f95a24b23f921bbf3fd7e84e,5,raw|train,atencion|peligro|sano,dataset/raw/peligro/peligro_13625.jpg|dataset/raw/sano/sano_06516.jpg|dataset/train/atencion/atencion_01812.jpg|dataset/train/peligro/peligro_13625.jpg|dataset/train/sano/sano_06516.jpg
07acc8f77d3538079d799e57cd8284d8ae089b4f4e217241da5d4ae652a657c1,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_03640.jpg|dataset/raw/peligro/peligro_00431.jpg|dataset/train/atencion/atencion_03640.jpg|dataset/train/peligro/peligro_00431.jpg
09c2b147874bd0033278851342ee62e60e5d13a465cb63313996cdf04755a79a,4,raw|test|train,peligro|sano,dataset/raw/peligro/peligro_00199.jpg|dataset/raw/sano/sano_02864.jpg|dataset/train/peligro/peligro_00199.jpg|dataset/test/sano/sano_02864.jpg
10b6ea441d46fe09dbf63bcc22c78ecb988e78fdc7cff59e569c450a68bea3dc,4,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_03360.jpg|dataset/raw/peligro/peligro_03462.jpg|dataset/train/peligro/peligro_03462.jpg|dataset/validation/atencion/atencion_03360.jpg
129094eb99692c784d422f62050d911de54454c3d60e06fbf973f1dc818f6f34,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_05005.jpg|dataset/raw/peligro/peligro_00247.jpg|dataset/train/atencion/atencion_05005.jpg|dataset/train/peligro/peligro_00247.jpg
1a31babf856f85c30e6d846049ba6be5b687a7db7c5cad1ddb9351e30cb8bd2c,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_02640.jpg|dataset/raw/peligro/peligro_01144.jpg|dataset/train/atencion/atencion_02640.jpg|dataset/train/peligro/peligro_01144.jpg
1d6f473c6c019eccfd40143524eb06203359cd27d5690a965dfc5b317771cf28,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_03936.jpg|dataset/raw/peligro/peligro_03198.jpg|dataset/train/atencion/atencion_03936.jpg|dataset/train/peligro/peligro_03198.jpg
2507e6a6c3cb7af450e39bb1ec031d1d316e313a1801338fcae7cf282171fa01,4,raw|test|train,atencion|peligro,dataset/raw/atencion/atencion_03329.jpg|dataset/raw/peligro/peligro_03440.jpg|dataset/train/peligro/peligro_03440.jpg|dataset/test/atencion/atencion_03329.jpg
2a71f17a7baa5bb22e3bbe02a42a38678caf758ab737e8935b88193c82e9c578,4,raw|validation,peligro|sano,dataset/raw/peligro/peligro_12028.jpg|dataset/raw/sano/sano_06496.jpg|dataset/validation/peligro/peligro_12028.jpg|dataset/validation/sano/sano_06496.jpg
2d49fa04f7ece0215e86743d52e94640728a80af547da09e9309ebef7e7e70ef,4,raw|train|validation,peligro|sano,dataset/raw/peligro/peligro_14795.jpg|dataset/raw/sano/sano_04350.jpg|dataset/train/peligro/peligro_14795.jpg|dataset/validation/sano/sano_04350.jpg
2e5461923f6840d1b16c2f24e89aaff63a0109ef17e7704fd153b35ef5656bd9,4,raw|train|validation,atencion|sano,dataset/raw/atencion/atencion_05171.jpg|dataset/raw/sano/sano_00211.jpg|dataset/train/sano/sano_00211.jpg|dataset/validation/atencion/atencion_05171.jpg
31062db8e14f2b216eec7b472026ab23e54d87df5e7eb272361deb2c72d4ed27,4,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_00700.jpg|dataset/raw/peligro/peligro_00100.jpg|dataset/train/peligro/peligro_00100.jpg|dataset/validation/atencion/atencion_00700.jpg
34723c1084085ab231318cd2ffd8e761db6860cb3b3b6c0de8d8150902639d2d,4,raw|test|validation,atencion|peligro,dataset/raw/atencion/atencion_09665.jpg|dataset/raw/peligro/peligro_00936.jpg|dataset/validation/atencion/atencion_09665.jpg|dataset/test/peligro/peligro_00936.jpg
3529384e742e70ccf88294544b21961fc55b4dbda8922d1d76062f43a5f4668c,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_05400.jpg|dataset/raw/peligro/peligro_03981.jpg|dataset/train/atencion/atencion_05400.jpg|dataset/train/peligro/peligro_03981.jpg
39012e72cfdde87a3d4e0fe81e635b9bef6590ef922fb8f6ded8753fdceb13a5,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_00004.jpg|dataset/raw/peligro/peligro_00179.jpg|dataset/train/atencion/atencion_00004.jpg|dataset/train/peligro/peligro_00179.jpg
439e1bb703a7e13230f61d5da8a3e8c62cc31cbc9718d5f75e520122de1c748a,4,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_12528.jpg|dataset/raw/peligro/peligro_13697.jpg|dataset/train/peligro/peligro_13697.jpg|dataset/validation/atencion/atencion_12528.jpg
57c2e22b9d9ff764291a5dd969f730c93048703c8868beabfce8e0ed10fe44b1,4,raw|train|validation,peligro|sano,dataset/raw/peligro/peligro_06151.jpg|dataset/raw/sano/sano_07045.jpg|dataset/train/sano/sano_07045.jpg|dataset/validation/peligro/peligro_06151.jpg
5940067c3ecd566f7a1028f6168dace8eb71aca38ecae9262611bbc1a522d324,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_00666.jpg|dataset/raw/peligro/peligro_00277.jpg|dataset/train/atencion/atencion_00666.jpg|dataset/train/peligro/peligro_00277.jpg
5fc484787819b421f09e840c354ff40852f7bf9cce234b104ea0ee063351a3cd,4,raw|test|train,atencion|peligro,dataset/raw/atencion/atencion_05807.jpg|dataset/raw/peligro/peligro_03041.jpg|dataset/train/atencion/atencion_05807.jpg|dataset/test/peligro/peligro_03041.jpg
601f38d1809d33e4a5dd99fae56d1415db6d1dec2f31a7c34ec9d5887a1ee315,4,raw|train|validation,peligro|sano,dataset/raw/peligro/peligro_10795.jpg|dataset/raw/sano/sano_03288.jpg|dataset/train/sano/sano_03288.jpg|dataset/validation/peligro/peligro_10795.jpg
618443ecea6a7d943b4458f4fde23f8d942b2a95abe1bbca4cd6b43d3397c484,4,raw|test|train,atencion|peligro,dataset/raw/atencion/atencion_00661.jpg|dataset/raw/peligro/peligro_00010.jpg|dataset/train/peligro/peligro_00010.jpg|dataset/test/atencion/atencion_00661.jpg
6612ab5b6070f67677c538eca4c44929d57b01f6e2a4eb7f5feeba41c0ddfc45,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_02541.jpg|dataset/raw/peligro/peligro_03136.jpg|dataset/train/atencion/atencion_02541.jpg|dataset/train/peligro/peligro_03136.jpg
6d19e236caa90d68b14c65f9edea7d01f8dc5911dd6f53dc5425b55d643ffc2c,4,raw|test|train,atencion|peligro,dataset/raw/atencion/atencion_00555.jpg|dataset/raw/peligro/peligro_01347.jpg|dataset/train/peligro/peligro_01347.jpg|dataset/test/atencion/atencion_00555.jpg
6dd5f8afb2a9f6fdf63afd2941e8ad871a8b2d5d20aef4dcf8b6f08dc1f27790,4,raw|train,atencion|sano,dataset/raw/atencion/atencion_00225.jpg|dataset/raw/sano/sano_04875.jpg|dataset/train/atencion/atencion_00225.jpg|dataset/train/sano/sano_04875.jpg
6e046c7288de30d7566f3e64243f6146eec8b5f13040022b2e191b902b66d5d5,4,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_05135.jpg|dataset/raw/peligro/peligro_00157.jpg|dataset/train/peligro/peligro_00157.jpg|dataset/validation/atencion/atencion_05135.jpg
703d3291996e2d76b40fe6920c228cbe23346c7736431aa807a2640b054faa77,4,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_00630.jpg|dataset/raw/peligro/peligro_00070.jpg|dataset/train/atencion/atencion_00630.jpg|dataset/validation/peligro/peligro_00070.jpg
72bc51495b4630559eb42867588d7e8214d5e55d7bb860f057f8d4575c52507d,4,raw|test,atencion|sano,dataset/raw/atencion/atencion_02194.jpg|dataset/raw/sano/sano_03206.jpg|dataset/test/atencion/atencion_02194.jpg|dataset/test/sano/sano_03206.jpg
7a2f05d7063e6f144a0943ceea8431be6514d683d54f74a0a8ab2ad7ac0b26d8,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_02872.jpg|dataset/raw/peligro/peligro_14811.jpg|dataset/train/atencion/atencion_02872.jpg|dataset/train/peligro/peligro_14811.jpg
7a4693431ffe127bbacf304e014e762827207dbed5082b5f2d7fb49dcf40f87c,4,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_05751.jpg|dataset/raw/peligro/peligro_04745.jpg|dataset/train/peligro/peligro_04745.jpg|dataset/validation/atencion/atencion_05751.jpg
7dd89b9035ec0b783a11553fa83ed14a10baad6a9c43f66b40d6a8d5e237b99e,4,raw|train,atencion|sano,dataset/raw/atencion/atencion_11964.jpg|dataset/raw/sano/sano_02893.jpg|dataset/train/atencion/atencion_11964.jpg|dataset/train/sano/sano_02893.jpg
83f6f5811f4aebb41d2aee7147c236ac9402ba0f3aa4d5132ba33ecd36521759,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_00636.jpg|dataset/raw/peligro/peligro_00300.jpg|dataset/train/atencion/atencion_00636.jpg|dataset/train/peligro/peligro_00300.jpg
8d7d666c21b28a0fdbcec3c7dd061a386d3292727de65a7a5ac94a6440126736,4,raw|test|train,atencion|peligro,dataset/raw/atencion/atencion_00693.jpg|dataset/raw/peligro/peligro_00113.jpg|dataset/train/atencion/atencion_00693.jpg|dataset/test/peligro/peligro_00113.jpg
96f43dbcabdbfa21d784bdcaa3f6edc1dd59c9548a9bf1717f5b73922653ec4f,4,raw|train|validation,atencion|sano,dataset/raw/atencion/atencion_00233.jpg|dataset/raw/sano/sano_09702.jpg|dataset/train/atencion/atencion_00233.jpg|dataset/validation/sano/sano_09702.jpg
a85b047f28dc83dcdf9a852562284b94f3beb4ce258d3234d4e1362bab288310,4,raw|train|validation,atencion|sano,dataset/raw/atencion/atencion_00860.jpg|dataset/raw/sano/sano_04696.jpg|dataset/train/atencion/atencion_00860.jpg|dataset/validation/sano/sano_04696.jpg
a9523199e3ab8caaf05dd7c05df9b3d4b7cf57d855a915d0a38c449460cce7c9,4,raw|train,atencion|sano,dataset/raw/atencion/atencion_00177.jpg|dataset/raw/sano/sano_05769.jpg|dataset/train/atencion/atencion_00177.jpg|dataset/train/sano/sano_05769.jpg
acfeb7a213103ef76ddfd3d99995289553aad2ed8a2a2f254307b932cc0ed4c9,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_05755.jpg|dataset/raw/peligro/peligro_00677.jpg|dataset/train/atencion/atencion_05755.jpg|dataset/train/peligro/peligro_00677.jpg
af17962ff6966af2d2c402ea9324541d334d5f2ea3e7831040874c7f4656029e,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_05045.jpg|dataset/raw/peligro/peligro_06486.jpg|dataset/train/atencion/atencion_05045.jpg|dataset/train/peligro/peligro_06486.jpg
b18c1b7d419b367d797ce1a35175281092cad39a593f7781de798a97fab79861,4,raw|validation,atencion|peligro,dataset/raw/atencion/atencion_07781.jpg|dataset/raw/peligro/peligro_00378.jpg|dataset/validation/atencion/atencion_07781.jpg|dataset/validation/peligro/peligro_00378.jpg
b4ab28cf7886d47babf1667e83b37778073a5d3067c078f6a96f145f7ee5d54d,4,raw|train|validation,peligro|sano,dataset/raw/peligro/peligro_05721.jpg|dataset/raw/sano/sano_09610.jpg|dataset/train/sano/sano_09610.jpg|dataset/validation/peligro/peligro_05721.jpg
b6e0b1c9ef480d5263f5053dc805918204de2a7c4761ec8723f8eb263bca37f4,4,raw|train,atencion|sano,dataset/raw/atencion/atencion_00349.jpg|dataset/raw/sano/sano_03246.jpg|dataset/train/atencion/atencion_00349.jpg|dataset/train/sano/sano_03246.jpg
b97e99cc522727264ff97f14304bbad1e3dc9301d0a79dadc71e0f802af5925e,4,raw|train,atencion|sano,dataset/raw/atencion/atencion_02388.jpg|dataset/raw/sano/sano_01174.jpg|dataset/train/atencion/atencion_02388.jpg|dataset/train/sano/sano_01174.jpg
c1c630506bffec069ee6ef8d4f5657614e759c7efa7644e05140c9d1eb317876,4,raw|train|validation,atencion|sano,dataset/raw/atencion/atencion_02906.jpg|dataset/raw/sano/sano_04292.jpg|dataset/train/atencion/atencion_02906.jpg|dataset/validation/sano/sano_04292.jpg
ccd48f8c9ff7e8ecdcb0dff3900c3458d5627f3684f341a435db7c8ca5120c8a,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_09857.jpg|dataset/raw/peligro/peligro_00104.jpg|dataset/train/atencion/atencion_09857.jpg|dataset/train/peligro/peligro_00104.jpg
cf19bb86bf849387f88244d36a62ed46c73254269f696eff3fc223e0e4b2c955,4,raw|validation,atencion|peligro,dataset/raw/atencion/atencion_03340.jpg|dataset/raw/peligro/peligro_03449.jpg|dataset/validation/atencion/atencion_03340.jpg|dataset/validation/peligro/peligro_03449.jpg
d09a1b570b1c450491c654b59c48f4851f1e56ee109886f1f526e436946e5c45,4,raw|train|validation,atencion|sano,dataset/raw/atencion/atencion_08223.jpg|dataset/raw/sano/sano_00782.jpg|dataset/train/atencion/atencion_08223.jpg|dataset/validation/sano/sano_00782.jpg
d0fe2e0d0188ea61991ac8996afa4f356367896ac2759e4e1f4d0e33bba21342,4,raw|test|train,atencion|peligro,dataset/raw/atencion/atencion_00600.jpg|dataset/raw/peligro/peligro_07727.jpg|dataset/train/atencion/atencion_00600.jpg|dataset/test/peligro/peligro_07727.jpg
d3646f9acffb381575a17aa39c291a85f34d864a4ec1695d029272f23aa15033,4,raw|train|validation,peligro|sano,dataset/raw/peligro/peligro_03233.jpg|dataset/raw/sano/sano_04313.jpg|dataset/train/sano/sano_04313.jpg|dataset/validation/peligro/peligro_03233.jpg
d9c06f0831f508740af8301ffa39edbf28c12697ee050ab9fd871b21140fa3d4,4,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_00658.jpg|dataset/raw/peligro/peligro_00694.jpg|dataset/train/atencion/atencion_00658.jpg|dataset/validation/peligro/peligro_00694.jpg
df6a17ee52c8373fe86f0a2ed0ed7a8cc88e4a091ad983304f89194f570319c3,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_00034.jpg|dataset/raw/peligro/peligro_00101.jpg|dataset/train/atencion/atencion_00034.jpg|dataset/train/peligro/peligro_00101.jpg
e39f16c788d3015118ee451ecfee522fa790d9389399cba99249cf9dcd633313,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_04792.jpg|dataset/raw/peligro/peligro_11476.jpg|dataset/train/atencion/atencion_04792.jpg|dataset/train/peligro/peligro_11476.jpg
f106c11fc6cb20108a58fe0e4ce889fb4ff1f5ce94b2b48123d279776595f666,4,raw|train,atencion|peligro,dataset/raw/atencion/atencion_03687.jpg|dataset/raw/peligro/peligro_00271.jpg|dataset/train/atencion/atencion_03687.jpg|dataset/train/peligro/peligro_00271.jpg
f4e2f07b14fd467101ed0655b6f802765707da6533c202f28d7d5e722df7708c,4,raw|train,atencion|sano,dataset/raw/atencion/atencion_00012.jpg|dataset/raw/sano/sano_00139.jpg|dataset/train/atencion/atencion_00012.jpg|dataset/train/sano/sano_00139.jpg
f993781a3e621b6fc71167a721a4926c054abc67a87270a054b74f81be6edeb7,4,raw|test|validation,peligro|sano,dataset/raw/peligro/peligro_00230.jpg|dataset/raw/sano/sano_02935.jpg|dataset/validation/peligro/peligro_00230.jpg|dataset/test/sano/sano_02935.jpg
01e62b13464b092606632d5d78d50f53228b178cfacd4404e3168cf098b8fdb4,3,raw|train,atencion|peligro,dataset/raw/peligro/peligro_00017.jpg|dataset/train/atencion/atencion_01405.jpg|dataset/train/peligro/peligro_00017.jpg
0dd9c906a98cfd7a2157c5931bdba570aa23697eaba3adc09878b44917aa9f7b,3,raw|train|validation,atencion|peligro,dataset/raw/peligro/peligro_03515.jpg|dataset/train/peligro/peligro_03515.jpg|dataset/validation/atencion/atencion_01977.jpg
11a9c515f2d0c1ada183356387b1cf85c114bc313a518fe78c9f00504bc0b028,3,raw|train,atencion|sano,dataset/raw/sano/sano_02884.jpg|dataset/train/atencion/atencion_01469.jpg|dataset/train/sano/sano_02884.jpg
145fc19953a9e7ec6e454b9ec07529fdb4732882678ec5fa46da04d680d889a3,3,raw|train,atencion|sano,dataset/raw/sano/sano_03879.jpg|dataset/train/atencion/atencion_01844.jpg|dataset/train/sano/sano_03879.jpg
18667dbce9160511f49d31aece6310f621535687d6bda56975cbff3ecaaa19ae,3,raw|train,atencion|peligro,dataset/raw/peligro/peligro_05954.jpg|dataset/train/atencion/atencion_01047.jpg|dataset/train/peligro/peligro_05954.jpg
23a5ae707f9cbe892f06c572eb010e36193b9dce5008bd8d6cd06f690d947dba,3,raw|train,atencion|peligro,dataset/raw/atencion/atencion_00782.jpg|dataset/train/atencion/atencion_00782.jpg|dataset/train/peligro/peligro_05562.jpg
2e2ed7083a7ada06eb4b0b3cd8cd5a09e81785b8b9c8263f52b7bbfd13cc2825,3,raw|train|validation,atencion|peligro,dataset/raw/atencion/atencion_06284.jpg|dataset/train/peligro/peligro_01963.jpg|dataset/validation/atencion/atencion_06284.jpg
329a70ba32588a03a1b12ea7c0b750cd2025796d7f1111c22f353e2445af9114,3,raw|train,atencion|peligro,dataset/raw/atencion/atencion_05758.jpg|dataset/train/atencion/atencion_05758.jpg|dataset/train/peligro/peligro_01522.jpg
