priority,source,current_label,suggested_review,confidence_or_distance,path_a,path_b,notes
critica,duplicado_exacto,atencion|peligro|sano,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_00763.jpg|dataset/raw/peligro/peligro_00118.jpg|dataset/train/atencion/atencion_00763.jpg|dataset/train/peligro/peligro_00118.jpg|dataset/train/sano/sano_04371.jpg,,Grupo con 5 copias en splits raw|train.
critica,duplicado_exacto,atencion|peligro|sano,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/peligro/peligro_03200.jpg|dataset/raw/sano/sano_04269.jpg|dataset/train/peligro/peligro_03200.jpg|dataset/train/sano/sano_04269.jpg|dataset/validation/atencion/atencion_01863.jpg,,Grupo con 5 copias en splits raw|train|validation.
critica,duplicado_exacto,atencion|peligro|sano,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/peligro/peligro_13625.jpg|dataset/raw/sano/sano_06516.jpg|dataset/train/atencion/atencion_01812.jpg|dataset/train/peligro/peligro_13625.jpg|dataset/train/sano/sano_06516.jpg,,Grupo con 5 copias en splits raw|train.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_03640.jpg|dataset/raw/peligro/peligro_00431.jpg|dataset/train/atencion/atencion_03640.jpg|dataset/train/peligro/peligro_00431.jpg,,Grupo con 4 copias en splits raw|train.
critica,duplicado_exacto,peligro|sano,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/peligro/peligro_00199.jpg|dataset/raw/sano/sano_02864.jpg|dataset/train/peligro/peligro_00199.jpg|dataset/test/sano/sano_02864.jpg,,Grupo con 4 copias en splits raw|test|train.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_03360.jpg|dataset/raw/peligro/peligro_03462.jpg|dataset/train/peligro/peligro_03462.jpg|dataset/validation/atencion/atencion_03360.jpg,,Grupo con 4 copias en splits raw|train|validation.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_05005.jpg|dataset/raw/peligro/peligro_00247.jpg|dataset/train/atencion/atencion_05005.jpg|dataset/train/peligro/peligro_00247.jpg,,Grupo con 4 copias en splits raw|train.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_02640.jpg|dataset/raw/peligro/peligro_01144.jpg|dataset/train/atencion/atencion_02640.jpg|dataset/train/peligro/peligro_01144.jpg,,Grupo con 4 copias en splits raw|train.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_03936.jpg|dataset/raw/peligro/peligro_03198.jpg|dataset/train/atencion/atencion_03936.jpg|dataset/train/peligro/peligro_03198.jpg,,Grupo con 4 copias en splits raw|train.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_03329.jpg|dataset/raw/peligro/peligro_03440.jpg|dataset/train/peligro/peligro_03440.jpg|dataset/test/atencion/atencion_03329.jpg,,Grupo con 4 copias en splits raw|test|train.
critica,duplicado_exacto,peligro|sano,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/peligro/peligro_12028.jpg|dataset/raw/sano/sano_06496.jpg|dataset/validation/peligro/peligro_12028.jpg|dataset/validation/sano/sano_06496.jpg,,Grupo con 4 copias en splits raw|validation.
critica,duplicado_exacto,peligro|sano,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/peligro/peligro_14795.jpg|dataset/raw/sano/sano_04350.jpg|dataset/train/peligro/peligro_14795.jpg|dataset/validation/sano/sano_04350.jpg,,Grupo con 4 copias en splits raw|train|validation.
critica,duplicado_exacto,atencion|sano,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_05171.jpg|dataset/raw/sano/sano_00211.jpg|dataset/train/sano/sano_00211.jpg|dataset/validation/atencion/atencion_05171.jpg,,Grupo con 4 copias en splits raw|train|validation.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_00700.jpg|dataset/raw/peligro/peligro_00100.jpg|dataset/train/peligro/peligro_00100.jpg|dataset/validation/atencion/atencion_00700.jpg,,Grupo con 4 copias en splits raw|train|validation.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_09665.jpg|dataset/raw/peligro/peligro_00936.jpg|dataset/validation/atencion/atencion_09665.jpg|dataset/test/peligro/peligro_00936.jpg,,Grupo con 4 copias en splits raw|test|validation.
critica,duplicado_exacto,atencion|peligro,definir una sola etiqueta canonica y evitar fuga entre splits,sha256,dataset/raw/atencion/atencion_05400.jpg|dataset/raw/peligro/peligro_03981.jpg|dataset/train/atencion/atencion_05400.jpg|dataset/train/peligro/peligro_03981.jpg,,Grupo con 4 copias en splits raw|train.
