split,true_class,predicted_class,confidence,bucket,action,correct,path
validation,atencion,sano,0.478227,baja,captura_adicional_revision_o_gemini,False,dataset_curado/validation/atencion/atencion_00197.jpg
validation,atencion,atencion,0.910820,alta,clasificacion_preliminar_no_final,True,dataset_curado/validation/atencion/atencion_00209.jpg
validation,atencion,atencion,0.896848,alta,clasificacion_preliminar_no_final,True,dataset_curado/validation/atencion/atencion_00223.jpg
validation,atencion,atencion,0.642211,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_00239.jpg
validation,atencion,atencion,0.783322,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_00272.jpg
validation,atencion,atencion,0.651905,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_00289.jpg
validation,atencion,atencion,0.755354,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_00302.jpg
validation,atencion,atencion,0.713273,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_00453.jpg
validation,atencion,peligro,0.543329,baja,captura_adicional_revision_o_gemini,False,dataset_curado/validation/atencion/atencion_00481.jpg
validation,atencion,peligro,0.634943,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_00540.jpg
validation,atencion,atencion,0.715343,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_00597.jpg
validation,atencion,peligro,0.872380,alta,alerta_preliminar_y_confirmar_con_gemini,False,dataset_curado/validation/atencion/atencion_00607.jpg
validation,atencion,sano,0.655475,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_00652.jpg
validation,atencion,peligro,0.818468,alta,alerta_preliminar_y_confirmar_con_gemini,False,dataset_curado/validation/atencion/atencion_00691.jpg
validation,atencion,peligro,0.971287,alta,alerta_preliminar_y_confirmar_con_gemini,False,dataset_curado/validation/atencion/atencion_00708.jpg
validation,atencion,atencion,0.387437,baja,captura_adicional_revision_o_gemini,True,dataset_curado/validation/atencion/atencion_00738.jpg
validation,atencion,atencion,0.927876,alta,clasificacion_preliminar_no_final,True,dataset_curado/validation/atencion/atencion_00748.jpg
validation,atencion,peligro,0.787667,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_00774.jpg
validation,atencion,atencion,0.658595,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_01157.jpg
validation,atencion,sano,0.532187,baja,captura_adicional_revision_o_gemini,False,dataset_curado/validation/atencion/atencion_01163.jpg
validation,atencion,peligro,0.729373,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_01168.jpg
validation,atencion,atencion,0.895239,alta,clasificacion_preliminar_no_final,True,dataset_curado/validation/atencion/atencion_01210.jpg
validation,atencion,atencion,0.615270,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_01216.jpg
validation,atencion,peligro,0.935801,alta,alerta_preliminar_y_confirmar_con_gemini,False,dataset_curado/validation/atencion/atencion_01238.jpg
validation,atencion,sano,0.636194,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_01246.jpg
validation,atencion,peligro,0.865961,alta,alerta_preliminar_y_confirmar_con_gemini,False,dataset_curado/validation/atencion/atencion_01264.jpg
validation,atencion,peligro,0.698319,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_01277.jpg
validation,atencion,peligro,0.716347,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_01278.jpg
validation,atencion,atencion,0.548032,baja,captura_adicional_revision_o_gemini,True,dataset_curado/validation/atencion/atencion_01300.jpg
validation,atencion,sano,0.568960,baja,captura_adicional_revision_o_gemini,False,dataset_curado/validation/atencion/atencion_01325.jpg
validation,atencion,atencion,0.459041,baja,captura_adicional_revision_o_gemini,True,dataset_curado/validation/atencion/atencion_01360.jpg
validation,atencion,atencion,0.941734,alta,clasificacion_preliminar_no_final,True,dataset_curado/validation/atencion/atencion_01370.jpg
validation,atencion,atencion,0.850941,alta,clasificacion_preliminar_no_final,True,dataset_curado/validation/atencion/atencion_01382.jpg
validation,atencion,atencion,0.700866,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_01395.jpg
validation,atencion,atencion,0.793444,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_01419.jpg
validation,atencion,sano,0.748344,media,agregar_con_otras_imagenes_del_grupo,False,dataset_curado/validation/atencion/atencion_01453.jpg
validation,atencion,atencion,0.713075,media,agregar_con_otras_imagenes_del_grupo,True,dataset_curado/validation/atencion/atencion_01511.jpg
validation,atencion,atencion,0.553849,baja,captura_adicional_revision_o_gemini,True,dataset_curado/validation/atencion/atencion_01539.jpg
