code,path,reason,decision,notes
03-01,dataset/raw/atencion/atencion_04687.jpg,similaridad perceptual con etiqueta conflictiva,,
03-02,dataset/raw/atencion/atencion_05807.jpg,duplicado exacto con etiqueta conflictiva,,
03-03,dataset/raw/atencion/atencion_01361.jpg,duplicado exacto con etiqueta conflictiva,,
03-04,dataset/raw/atencion/atencion_02919.jpg,similaridad perceptual con etiqueta conflictiva,,
03-05,dataset/raw/atencion/atencion_00619.jpg,similaridad perceptual con etiqueta conflictiva,,
03-06,dataset/raw/atencion/atencion_00661.jpg,duplicado exacto con etiqueta conflictiva,,
03-07,dataset/raw/atencion/atencion_02541.jpg,duplicado exacto con etiqueta conflictiva,,
03-08,dataset/raw/atencion/atencion_02991.jpg,similaridad perceptual con etiqueta conflictiva,,
03-09,dataset/raw/atencion/atencion_03350.jpg,similaridad perceptual con etiqueta conflictiva,,
03-10,dataset/raw/atencion/atencion_02102.jpg,duplicado exacto con etiqueta conflictiva,,
03-11,dataset/raw/atencion/atencion_00555.jpg,duplicado exacto con etiqueta conflictiva,,
03-12,dataset/raw/atencion/atencion_00225.jpg,duplicado exacto con etiqueta conflictiva,,
03-13,dataset/raw/atencion/atencion_05135.jpg,duplicado exacto con etiqueta conflictiva,,
03-14,dataset/raw/atencion/atencion_00630.jpg,duplicado exacto con etiqueta conflictiva,,
03-15,dataset/raw/atencion/atencion_02194.jpg,duplicado exacto con etiqueta conflictiva,,
03-16,dataset/raw/atencion/atencion_06647.jpg,similaridad perceptual con etiqueta conflictiva,,
03-17,dataset/raw/atencion/atencion_03246.jpg,similaridad perceptual con etiqueta conflictiva,,
03-18,dataset/raw/atencion/atencion_01791.jpg,duplicado exacto con etiqueta conflictiva,,
03-19,dataset/raw/atencion/atencion_02872.jpg,duplicado exacto con etiqueta conflictiva,,
03-20,dataset/raw/atencion/atencion_05751.jpg,duplicado exacto con etiqueta conflictiva,,
03-21,dataset/raw/atencion/atencion_01775.jpg,similaridad perceptual con etiqueta conflictiva,,
03-22,dataset/raw/atencion/atencion_03518.jpg,similaridad perceptual con etiqueta conflictiva,,
03-23,dataset/raw/atencion/atencion_11964.jpg,duplicado exacto con etiqueta conflictiva,,
03-24,dataset/raw/atencion/atencion_00807.jpg,similaridad perceptual con etiqueta conflictiva,,
03-25,dataset/raw/atencion/atencion_01606.jpg,similaridad perceptual con etiqueta conflictiva,,
